feature_name,X,Y,Z,coord,val,gx,gy,gz
fault_1,188008.85,7787595.17,-9171.4,0,0,,,
fault_1,188178.83,7788348.65,-9178.51,0,0,,,
fault_1,187910.92,7787093.16,-9199.87,0,0,,,
fault_1,188114.47,7788097.34,-9206.98,0,0,,,
fault_1,187836.07,7786591.6,-9214.11,0,0,,,
fault_1,188646.81,7789608.05,-9221.21,0,0,,,
fault_1,188304.74,7788601.16,-9221.21,0,0,,,
fault_1,187885.03,7786842.6,-9235.48,0,0,,,
fault_1,188134.76,7787847.69,-9235.48,0,0,,,
fault_1,187990.66,7787344.77,-9249.71,0,0,,,
fault_1,188543.98,7789355.99,-9256.82,0,0,,,
fault_1,188422.96,7788853.52,-9256.82,0,0,,,
fault_1,188495.01,7789104.98,-9271.05,0,0,,,
fault_1,188391.48,7788102.76,-9591.4,0,0,,,
fault_1,188183.03,7787348.54,-9612.77,0,0,,,
fault_1,188327.13,7787851.45,-9619.87,0,0,,,
fault_1,188059.21,7786595.97,-9627,0,0,,,
fault_1,188478.92,7788354.52,-9634.13,0,0,,,
fault_1,188157.15,7787097.98,-9641.24,0,0,,,
fault_1,188301.24,7787600.9,-9655.47,0,0,,,
fault_1,188730.75,7788859.55,-9797.86,0,0,,,
fault_1,188651,7788607.94,-9804.96,0,0,,,
fault_1,188169.74,7786848.18,-9804.96,0,0,,,
fault_1,189005.65,7789365.03,-10039.89,0,0,,,
fault_1,188636.66,7788357.61,-10103.97,1,,-0.44,-0.01,0.9
fault_1,189116.17,7789617.25,-10125.34,0,0,,,
fault_1,188341.82,7787101.6,-10132.44,1,,-0.42,-0.01,0.91
fault_1,188956.69,7789114.03,-10132.44,0,0,,,
fault_1,188281.31,7786850.37,-10143.12,1,,-0.4,-0.01,0.92
fault_1,188236.19,7786599.43,-10146.68,0,0,,,
fault_1,188220.8,7786599.13,-10160.91,1,,-0.38,-0.01,0.93
fault_1,188458.99,7787603.99,-10217.87,1,,-0.4,-0.01,0.92
fault_1,188774.11,7788610.36,-10228.54,1,,-0.42,-0.01,0.91
fault_1,188362.1,7786851.95,-10239.22,0,0,,,
fault_1,188452.34,7787353.81,-10281.93,0,0,,,
fault_1,188429.26,7787353.36,-10292.63,1,,-0.39,-0.01,0.92
fault_1,188930.8,7788863.47,-10317.53,0,0,,,
fault_1,188614.62,7788107.13,-10353.12,1,,-0.4,-0.01,0.92
fault_1,188737.74,7788109.55,-10367.37,0,0,,,
fault_1,188601.34,7787606.78,-10388.71,0,0,,,
fault_1,188581.05,7787856.43,-10410.08,1,,-0.36,-0.01,0.93
fault_1,189022.09,7789115.31,-10413.63,1,,-0.42,-0.01,0.91
fault_1,188526.49,7787105.22,-10431.45,0,0,,,
fault_1,188673.39,7787858.24,-10438.55,0,0,,,
fault_1,188926.95,7788863.4,-10452.79,1,,-0.39,-0.01,0.92
fault_1,189212.36,7789619.13,-10459.9,1,,-0.42,-0.01,0.91
fault_1,189151.85,7789367.9,-10563.13,1,,-0.42,-0.01,0.91
fault_1,188940.59,7788363.57,-10652.12,0,0,,,
fault_1,189012.64,7788615.03,-10766.03,0,0,,,
fault_1,189094.49,7788366.58,-11029.43,0,0,,,
fault_1,188677.58,7786858.13,-11050.77,0,0,,,
fault_1,188772.72,7787110.04,-11065.01,0,0,,,
fault_1,188605.53,7786606.67,-11107.71,0,0,,,
fault_1,189243.49,7788619.55,-11235.86,0,0,,,
fault_1,188909.12,7787612.81,-11264.34,0,0,,,
fault_1,188867.85,7787361.95,-11335.54,0,0,,,
fault_1,189114.77,7788116.93,-11499.27,0,0,,,
fault_1,189549.17,7789125.63,-11556.21,0,0,,,
fault_1,189027.33,7787865.17,-11584.68,0,0,,,
fault_1,189430.95,7788873.27,-11648.76,0,0,,,
fault_1,189777.91,7789630.21,-11698.6,0,0,,,
fault_1,189759.72,7789379.81,-11869.45,0,0,,,
fault_2,189092.87,7786366.17,-9277.38,0,0,,,
fault_2,189199.53,7786868.35,-9314.51,0,0,,,
fault_2,189128.12,7786616.91,-9321.95,0,0,,,
fault_2,189295.03,7787120.27,-9321.95,0,0,,,
fault_2,189417.76,7787622.77,-9325.67,0,0,,,
fault_2,189366.44,7787371.72,-9336.82,0,0,,,
fault_2,189493.18,7787874.3,-9366.54,0,0,,,
fault_2,189576.63,7788125.98,-9373.98,0,0,,,
fault_2,189656.07,7788377.58,-9466.86,0,0,,,
fault_2,188932.23,7784612.69,-9483.9,0,0,,,
fault_2,189002.42,7785614.25,-9490.83,0,0,,,
fault_2,189174.06,7786117.71,-9507.73,0,0,,,
fault_2,188996.09,7785364.08,-9515.06,0,0,,,
fault_2,189110.69,7785866.42,-9518.86,0,0,,,
fault_2,188975.96,7784863.59,-9528.91,0,0,,,
fault_2,189539.12,7787375.1,-9570.89,0,0,,,
fault_2,189064.58,7785115.37,-9580.8,0,0,,,
fault_2,189851.96,7788631.47,-9585.74,0,0,,,
fault_2,189634.62,7787627.02,-9596.89,0,0,,,
fault_2,189436.47,7786872.99,-9626.61,0,0,,,
fault_2,189661.84,7787877.6,-9626.61,0,0,,,
fault_2,189377.11,7786621.78,-9656.33,0,0,,,
fault_2,189556.06,7787125.38,-9693.49,0,0,,,
fault_2,189797.5,7788130.31,-9715.77,0,0,,,
fault_2,189067.17,7785365.47,-9717.51,1,,-0.33,-0.01,0.94
fault_2,189070.64,7784615.4,-9733.08,1,,-0.49,-0.01,0.87
fault_2,189353.89,7786371.28,-9745.49,0,0,,,
fault_2,189133.79,7785116.73,-9755.57,1,,-0.37,-0.01,0.93
fault_2,189367.95,7786371.56,-9782.67,1,,-0.48,-0.01,0.88
fault_2,189137.08,7785616.89,-9785,1,,-0.42,-0.01,0.91
fault_2,189110.63,7784866.23,-9791.92,1,,-0.46,-0.01,0.89
fault_2,189097.09,7785366.06,-9791.92,0,0,,,
fault_2,189494.7,7786874.13,-9803.09,1,,-0.52,-0.01,0.86
fault_2,189135.66,7785116.77,-9805.77,0,0,,,
fault_2,189103.14,7784866.08,-9805.77,0,0,,,
fault_2,189690.84,7787628.12,-9808.67,1,,-0.49,-0.01,0.87
fault_2,189623.45,7787376.75,-9812.39,1,,-0.48,-0.01,0.88
fault_2,189977.34,7788383.88,-9816.09,0,0,,,
fault_2,189409.23,7786622.41,-9827.23,1,,-0.49,-0.01,0.87
fault_2,189772.28,7787879.76,-9827.25,1,,-0.52,-0.01,0.86
fault_2,189155.79,7785617.26,-9833.43,0,0,,,
fault_2,189548.91,7786875.2,-9834.68,0,0,,,
fault_2,189227.15,7785868.7,-9838.37,0,0,,,
fault_2,189338.71,7786120.94,-9845.81,0,0,,,
fault_2,190006.57,7788634.5,-9860.67,1,,-0.49,-0.01,0.87
fault_2,189287.39,7785869.88,-9866.25,1,,-0.45,-0.01,0.89
fault_2,189584.17,7787125.94,-9868.11,1,,-0.47,-0.01,0.88
fault_2,189141.71,7784616.79,-9878.45,0,0,,,
fault_2,189632.36,7787126.88,-9879.25,0,0,,,
fault_2,189917.1,7788382.7,-9914.55,1,,-0.5,-0.01,0.86
fault_2,189871.8,7788131.76,-9914.56,1,,-0.48,-0.01,0.88
fault_2,189138.24,7785366.86,-9919.96,0,0,,,
fault_2,190016.61,7788634.69,-9920.13,0,0,,,
fault_2,189202.99,7785118.09,-9930.34,0,0,,,
fault_2,189374.85,7786121.64,-9933.14,1,,-0.43,-0.01,0.9
fault_2,189537.74,7786624.93,-9953.56,0,0,,,
fault_2,189878.7,7787881.85,-9953.56,0,0,,,
fault_2,189209.04,7784618.11,-9982.26,0,0,,,
fault_2,189827.37,7787630.8,-10001.85,0,0,,,
fault_2,189245.29,7784868.87,-10054.94,0,0,,,
fault_2,189271.75,7785619.53,-10079.16,0,0,,,
fault_2,190034.44,7788134.95,-10131.89,0,0,,,
fault_2,190161.18,7788637.53,-10135.6,0,0,,,
fault_2,189464.08,7785873.34,-10213.64,0,0,,,
fault_2,189643.03,7786376.94,-10287.95,0,0,,,
fault_2,190051.38,7787885.23,-10287.95,0,0,,,
fault_2,189880.46,7787381.79,-10287.95,0,0,,,
fault_2,189963.91,7787633.47,-10291.67,0,0,,,
fault_2,189789.86,7786879.92,-10291.67,0,0,,,
fault_2,189853.23,7787131.21,-10313.95,0,0,,,
fault_2,189690.34,7786627.92,-10332.52,0,0,,,
fault_2,189575.64,7786125.58,-10358.55,0,0,,,
fault_2,190178.12,7788387.81,-10362.24,0,0,,,
fault_2,189873.31,7787131.6,-10414.27,0,0,,,
fault_2,190166.96,7788137.54,-10455.15,0,0,,,
fault_3,190455.32,7775890.85,-9143.71,0,0,,,
fault_3,190335.85,7775388.41,-9272.14,0,0,,,
fault_3,190785.31,7776647.45,-9351.86,0,0,,,
fault_3,190851.67,7778149.04,-9356.3,0,0,,,
fault_3,190794.67,7777147.73,-9365.15,0,0,,,
fault_3,190766.05,7776897.12,-9369.59,0,0,,,
fault_3,190985.61,7778401.71,-9387.3,0,0,,,
fault_3,190785.53,7776147.36,-9396.15,0,0,,,
fault_3,190780.09,7777647.54,-9400.59,0,0,,,
fault_3,190842.21,7777898.81,-9409.44,0,0,,,
fault_3,190546.39,7775642.58,-9409.44,0,0,,,
fault_3,190780.2,7777397.5,-9409.44,0,0,,,
fault_3,190975,7779151.65,-9411.38,0,0,,,
fault_3,190857.22,7776398.81,-9413.88,0,0,,,
fault_3,190985.69,7779401.91,-9430.62,0,0,,,
fault_3,191027.55,7779652.77,-9440.24,0,0,,,
fault_3,190359.9,7775138.83,-9444.88,0,0,,,
fault_3,190498.62,7775391.6,-9471.44,0,0,,,
fault_3,191247.23,7780907.32,-9521.94,0,0,,,
fault_3,191114.96,7778904.34,-9541.17,0,0,,,
fault_3,191173.31,7779905.68,-9550.77,0,0,,,
fault_3,191737.68,7782667.26,-9555.6,0,0,,,
fault_3,191130.25,7778654.59,-9560.4,0,0,,,
fault_3,191246.34,7780157.15,-9560.4,0,0,,,
fault_3,190948.08,7776650.64,-9564.45,0,0,,,
fault_3,191779.83,7783168.18,-9594.04,0,0,,,
fault_3,191309.28,7780658.48,-9608.47,0,0,,,
fault_3,190843.08,7775898.44,-9622.04,0,0,,,
fault_3,191774.34,7782918.02,-9627.7,0,0,,,
fault_3,190804.78,7775897.69,-9628.68,1,,-0.58,-0.01,0.81
fault_3,191048.72,7776402.57,-9639.74,0,0,,,
fault_3,190771.38,7775646.99,-9644.18,0,0,,,
fault_3,191821.7,7783419.05,-9646.93,0,0,,,
fault_3,190565.75,7775142.86,-9648.62,0,0,,,
fault_3,190967.11,7776901.06,-9684.06,0,0,,,
fault_3,191758.16,7782417.61,-9694.99,0,0,,,
fault_3,191334.96,7780408.94,-9694.99,0,0,,,
fault_3,191114.98,7778154.2,-9697.32,0,0,,,
fault_3,191711.1,7782166.64,-9733.42,0,0,,,
fault_3,191014.88,7777152.05,-9739.4,1,,-0.51,-0.01,0.86
fault_3,191638.07,7781915.16,-9743.05,0,0,,,
fault_3,190986.04,7777401.53,-9746.05,0,0,,,
fault_3,191429.37,7781160.93,-9752.65,0,0,,,
fault_3,191713.79,7784417.13,-9757.46,0,0,,,
fault_3,191539.06,7781663.18,-9767.08,0,0,,,
fault_3,190658.99,7775394.74,-9772.62,1,,-0.54,-0.01,0.84
fault_3,191077.33,7776653.17,-9777.05,1,,-0.57,-0.01,0.82
fault_3,191052.85,7777902.93,-9777.05,0,0,,,
fault_3,191931.39,7783921.29,-9786.32,0,0,,,
fault_3,191007.81,7776901.86,-9788.13,1,,-0.5,-0.01,0.87
fault_3,191967.46,7783671.95,-9810.35,0,0,,,
fault_3,191033.92,7777402.47,-9814.7,1,,-0.53,-0.01,0.85
fault_3,191149.25,7776404.53,-9816.92,1,,-0.59,-0.01,0.81
fault_3,191253.69,7778406.96,-9821.34,0,,1,0,0
fault_3,191253.69,7778406.96,-9821.34,0,0,,,
fault_3,190723.62,7775396.01,-9834.63,0,0,,,
fault_3,191172.42,7778155.32,-9843.49,1,,-0.55,-0.01,0.84
fault_3,191512.79,7781412.61,-9853.58,0,0,,,
fault_3,191081.9,7777153.36,-9861.21,0,0,,,
fault_3,191072.11,7777653.26,-9872.28,1,,-0.53,-0.01,0.85
fault_3,191063.19,7776152.8,-9874.5,0,0,,,
