feature_name,X,Y,Z,coord,val,gx,gy,gz,intrusion_contact_type,intrusion_side
lower_extent,0,0,0,,,,,,,
upper_extent,1,1,0.5,,,,,,,
laccolith_frame,0.5,0.5,0.1,1,0,0,1,0,,
laccolith_frame,0.5,0.5,0.1,1,,,,,,
laccolith_frame,0.5,0.5,0.1,2,0,1,0,0,,
laccolith_frame,0.5,0.5,0.1,2,,,,,,
laccolith,0.32,0.3,0.13,,,,,,floor,
laccolith,0.75,0.5,0.09,,,,,,floor,
laccolith,0.35,0.8,0.11,,,,,,floor,
laccolith,0.4,0.5,0.31,,,,,,roof,
laccolith,0.5,0.2,0.35,,,,,,roof,
laccolith,0.7,0.75,0.29,,,,,,roof,
stratigraphy,0.1,0.1,0.2,,0,,,,,
stratigraphy,0.9,0.9,0.2,,0,,,,,
stratigraphy,0.5,0.5,0.2,,0,,,,,
stratigraphy,0.1,0.9,0.2,,0,,,,,
stratigraphy,0.9,0.1,0.2,,0,,,,,
stratigraphy,0.5,0.5,0.2,,,0,0,1,,
