feature_name,X,Y,Z,coord,val,gx,gy,gz,intrusion_contact_type,intrusion_side,intrusion_anisotropy
fault,1000,265,45,0,0,0,-0.5,0.87,,,
fault,1000,265,45,0,0,,,,,,
fault,1000,265,45,1,,0,-0.87,-0.5,,,
sill_0,472.932,31.691,10,,,,,,floor,TRUE,stratigraphy
sill_0,429.052,234.028,10,,,,,,floor,TRUE,stratigraphy
sill_0,326.664,375.42,10,,,,,,floor,TRUE,stratigraphy
sill_0,285.222,497.31,10,,,,,,floor,TRUE,stratigraphy
sill_0,307.162,619.2,10,,,,,,floor,TRUE,stratigraphy
sill_0,214.526,745.965,10,,,,,,floor,TRUE,stratigraphy
sill_0,197.461,826.412,10,,,,,,floor,TRUE,stratigraphy
sill_0,107.263,984.869,10,,,,,,floor,TRUE,stratigraphy
sill_0,26.816,1097.007,10,,,,,,floor,TRUE,stratigraphy
sill_0,0,1289.593,10,,,,,,floor,TRUE,stratigraphy
sill_0,19.502,1423.672,10,,,,,,floor,TRUE,stratigraphy
sill_0,626.513,1589.442,10,,,,,,floor,TRUE,stratigraphy
sill_0,758.154,1474.866,10,,,,,,floor,TRUE,stratigraphy
sill_0,853.228,1391.981,10,,,,,,floor,TRUE,stratigraphy
sill_0,875.168,1245.713,10,,,,,,floor,TRUE,stratigraphy
sill_0,855.666,1140.888,10,,,,,,floor,TRUE,stratigraphy
sill_0,845.915,1021.436,10,,,,,,floor,TRUE,stratigraphy
sill_0,901.984,877.606,10,,,,,,floor,TRUE,stratigraphy
sill_0,936.113,765.467,10,,,,,,floor,TRUE,stratigraphy
sill_0,1060.441,582.633,10,,,,,,floor,TRUE,stratigraphy
sill_0,1172.579,460.743,10,,,,,,floor,TRUE,stratigraphy
sill_0,1218.897,321.789,10,,,,,,floor,TRUE,stratigraphy
sill_0,1243.275,21.94,10,,,,,,floor,TRUE,stratigraphy
sill_0,476.589,752.059,110,,,,,,roof,,stratigraphy
sill_0,425.395,1039.719,80,,,,,,roof,,stratigraphy
sill_0,354.699,1400.513,50,,,,,,roof,,stratigraphy
sill_0,417.041,547.376,115,,,,,,roof,,stratigraphy
sill_0,677.929,349.734,118,,,,,,roof,,stratigraphy
sill_0,693.74,689.679,112,,,,,,roof,,stratigraphy
sill_0,633.13,966.378,90,,,,,,roof,,stratigraphy
sill_0,295.821,845.157,86,,,,,,roof,,stratigraphy
sill_0,593.601,1240.441,65,,,,,,roof,,stratigraphy
sill_0,232.575,1243.076,55,,,,,,roof,,stratigraphy
sill_0,498.733,1551.398,54,,,,,,roof,,stratigraphy
sill_0_frame,476.589,752.059,110,1,0,,,,,,
sill_0_frame,476.589,752.059,110,1,,-0.12,0.99,0,,,
sill_0_frame,425.395,1039.719,80,1,,-0.12,0.99,0,,,
sill_0_frame,354.699,1400.513,50,1,,-0.12,0.99,0,,,
sill_0_frame,476.589,752.059,110,2,0,,,,axis,,
sill_0_frame,425.395,1039.719,80,2,0,,,,axis,,
sill_0_frame,354.699,1400.513,50,2,0,,,,axis,,
sill_0_frame,476.589,752.059,110,2,,0.99,0.12,0,,,
sill_0_frame,425.395,1039.719,80,2,,0.99,0.12,0,,,
sill_0_frame,354.699,1400.513,50,2,,0.99,0.12,0,,,
sill_1,1187.206,21.94,10,,,,,,floor,TRUE,stratigraphy
